images_path,label
Preprocessed\anger\img_0049.jpg,0
Preprocessed\anger\img_0050.jpg,0
Preprocessed\anger\img_0051.jpg,0
Preprocessed\anger\img_0052.jpg,0
Preprocessed\anger\img_0053.jpg,0
Preprocessed\anger\img_0054.jpg,0
Preprocessed\anger\img_0055.jpg,0
Preprocessed\anger\img_0056.jpg,0
Preprocessed\anger\img_0057.jpg,0
Preprocessed\anger\img_0058.jpg,0
Preprocessed\anger\img_0059.jpg,0
Preprocessed\anger\img_0060.jpg,0
Preprocessed\anger\img_0061.jpg,0
Preprocessed\anger\img_0062.jpg,0
Preprocessed\anger\img_0063.jpg,0
Preprocessed\anger\img_0064.jpg,0
Preprocessed\anger\img_0065.jpg,0
Preprocessed\anger\img_0066.jpg,0
Preprocessed\anger\img_0067.jpg,0
Preprocessed\anger\img_0068.jpg,0
Preprocessed\anger\img_0069.jpg,0
Preprocessed\anger\img_0070.jpg,0
Preprocessed\anger\img_0071.jpg,0
Preprocessed\anger\img_0072.jpg,0
Preprocessed\anger\img_0073.jpg,0
Preprocessed\anger\img_0074.jpg,0
Preprocessed\anger\img_0075.jpg,0
Preprocessed\anger\img_0076.jpg,0
Preprocessed\anger\img_0077.jpg,0
Preprocessed\anger\img_0078.jpg,0
Preprocessed\anger\img_0079.jpg,0
Preprocessed\anger\img_0080.jpg,0
Preprocessed\anger\img_0081.jpg,0
Preprocessed\anger\img_0082.jpg,0
Preprocessed\anger\img_0083.jpg,0
Preprocessed\anger\img_0084.jpg,0
Preprocessed\anger\img_0085.jpg,0
Preprocessed\anger\img_0086.jpg,0
Preprocessed\anger\img_0087.jpg,0
Preprocessed\anger\img_0088.jpg,0
Preprocessed\anger\img_0089.jpg,0
Preprocessed\anger\img_0090.jpg,0
Preprocessed\anger\img_0091.jpg,0
Preprocessed\anger\img_0092.jpg,0
Preprocessed\anger\img_0093.jpg,0
Preprocessed\anger\img_0094.jpg,0
Preprocessed\anger\img_0095.jpg,0
Preprocessed\anger\img_0096.jpg,0
Preprocessed\anger\img_0097.jpg,0
Preprocessed\anger\img_0098.jpg,0
Preprocessed\anger\img_0099.jpg,0
Preprocessed\anger\img_0100.jpg,0
Preprocessed\anger\img_0101.jpg,0
Preprocessed\anger\img_0102.jpg,0
Preprocessed\anger\img_0103.jpg,0
Preprocessed\anger\img_0104.jpg,0
Preprocessed\anger\img_0105.jpg,0
Preprocessed\anger\img_0106.jpg,0
Preprocessed\anger\img_0107.jpg,0
Preprocessed\anger\img_0108.jpg,0
Preprocessed\anger\img_0109.jpg,0
Preprocessed\anger\img_0110.jpg,0
Preprocessed\anger\img_0111.jpg,0
Preprocessed\anger\img_0112.jpg,0
Preprocessed\anger\img_0113.jpg,0
Preprocessed\anger\img_0114.jpg,0
Preprocessed\anger\img_0115.jpg,0
Preprocessed\anger\img_0116.jpg,0
Preprocessed\anger\img_0117.jpg,0
Preprocessed\anger\img_0118.jpg,0
Preprocessed\anger\img_0119.jpg,0
Preprocessed\anger\img_0120.jpg,0
Preprocessed\anger\img_0121.jpg,0
Preprocessed\anger\img_0122.jpg,0
Preprocessed\anger\img_0123.jpg,0
Preprocessed\anger\img_0124.jpg,0
Preprocessed\anger\img_0125.jpg,0
Preprocessed\anger\img_0126.jpg,0
Preprocessed\anger\img_0127.jpg,0
Preprocessed\anger\img_0128.jpg,0
Preprocessed\anger\img_0129.jpg,0
Preprocessed\anger\img_0130.jpg,0
Preprocessed\anger\img_0131.jpg,0
Preprocessed\anger\img_0132.jpg,0
Preprocessed\anger\img_0133.jpg,0
Preprocessed\anger\img_0134.jpg,0
Preprocessed\anger\img_0135.jpg,0
Preprocessed\anger\img_0136.jpg,0
Preprocessed\anger\img_0137.jpg,0
Preprocessed\anger\img_0138.jpg,0
Preprocessed\anger\img_0139.jpg,0
Preprocessed\anger\img_0140.jpg,0
Preprocessed\anger\img_0141.jpg,0
Preprocessed\anger\img_0142.jpg,0
Preprocessed\anger\img_0143.jpg,0
Preprocessed\anger\img_0144.jpg,0
Preprocessed\anger\img_0145.jpg,0
Preprocessed\anger\img_0146.jpg,0
Preprocessed\anger\img_0147.jpg,0
Preprocessed\anger\img_0148.jpg,0
Preprocessed\anger\img_0149.jpg,0
Preprocessed\anger\img_0150.jpg,0
Preprocessed\anger\img_0151.jpg,0
Preprocessed\anger\img_0152.jpg,0
Preprocessed\anger\img_0153.jpg,0
Preprocessed\anger\img_0154.jpg,0
Preprocessed\anger\img_0155.jpg,0
Preprocessed\anger\img_0156.jpg,0
Preprocessed\anger\img_0157.jpg,0
Preprocessed\anger\img_0158.jpg,0
Preprocessed\anger\img_0159.jpg,0
Preprocessed\anger\img_0160.jpg,0
Preprocessed\anger\img_0161.jpg,0
Preprocessed\anger\img_0162.jpg,0
Preprocessed\anger\img_0163.jpg,0
Preprocessed\anger\img_0164.jpg,0
Preprocessed\anger\img_0165.jpg,0
Preprocessed\anger\img_0166.jpg,0
Preprocessed\anger\img_0167.jpg,0
Preprocessed\anger\img_0168.jpg,0
Preprocessed\anger\img_0169.jpg,0
Preprocessed\anger\img_0170.jpg,0
Preprocessed\anger\img_0171.jpg,0
Preprocessed\anger\img_0172.jpg,0
Preprocessed\anger\img_0173.jpg,0
Preprocessed\anger\img_0174.jpg,0
Preprocessed\anger\img_0175.jpg,0
Preprocessed\anger\img_0176.jpg,0
Preprocessed\anger\img_0177.jpg,0
Preprocessed\anger\img_0178.jpg,0
Preprocessed\anger\img_0179.jpg,0
Preprocessed\anger\img_0180.jpg,0
Preprocessed\anger\img_0181.jpg,0
Preprocessed\anger\img_0182.jpg,0
Preprocessed\anger\img_0183.jpg,0
Preprocessed\anger\img_0184.jpg,0
Preprocessed\anger\img_0185.jpg,0
Preprocessed\anger\img_0186.jpg,0
Preprocessed\anger\img_0187.jpg,0
Preprocessed\anger\img_0188.jpg,0
Preprocessed\anger\img_0189.jpg,0
Preprocessed\anger\img_0190.jpg,0
Preprocessed\anger\img_0191.jpg,0
Preprocessed\anger\img_0192.jpg,0
Preprocessed\anger\img_0193.jpg,0
Preprocessed\anger\img_0194.jpg,0
Preprocessed\anger\img_0195.jpg,0
Preprocessed\anger\img_0196.jpg,0
Preprocessed\anger\img_0197.jpg,0
Preprocessed\anger\img_0198.jpg,0
Preprocessed\anger\img_0199.jpg,0
Preprocessed\anger\img_0200.jpg,0
Preprocessed\anger\img_0201.jpg,0
Preprocessed\anger\img_0202.jpg,0
Preprocessed\anger\img_0203.jpg,0
Preprocessed\anger\img_0204.jpg,0
Preprocessed\anger\img_0205.jpg,0
Preprocessed\anger\img_0206.jpg,0
Preprocessed\anger\img_0207.jpg,0
Preprocessed\anger\img_0208.jpg,0
Preprocessed\anger\img_0209.jpg,0
Preprocessed\anger\img_0210.jpg,0
Preprocessed\anger\img_0211.jpg,0
Preprocessed\anger\img_0212.jpg,0
Preprocessed\anger\img_0213.jpg,0
Preprocessed\anger\img_0214.jpg,0
Preprocessed\anger\img_0215.jpg,0
Preprocessed\anger\img_0216.jpg,0
Preprocessed\anger\img_0217.jpg,0
Preprocessed\anger\img_0218.jpg,0
Preprocessed\anger\img_0219.jpg,0
Preprocessed\anger\img_0220.jpg,0
Preprocessed\anger\img_0221.jpg,0
Preprocessed\anger\img_0222.jpg,0
Preprocessed\anger\img_0223.jpg,0
Preprocessed\anger\img_0224.jpg,0
Preprocessed\anger\img_0225.jpg,0
Preprocessed\anger\img_0226.jpg,0
Preprocessed\anger\img_0227.jpg,0
Preprocessed\anger\img_0228.jpg,0
Preprocessed\anger\img_0229.jpg,0
Preprocessed\anger\img_0230.jpg,0
Preprocessed\anger\img_0231.jpg,0
Preprocessed\anger\img_0232.jpg,0
Preprocessed\anger\img_0233.jpg,0
Preprocessed\anger\img_0234.jpg,0
Preprocessed\anger\img_0235.jpg,0
Preprocessed\anger\img_0236.jpg,0
Preprocessed\anger\img_0237.jpg,0
Preprocessed\anger\img_0238.jpg,0
Preprocessed\anger\img_0239.jpg,0
Preprocessed\anger\img_0240.jpg,0
Preprocessed\anger\img_0241.jpg,0
Preprocessed\anger\img_0242.jpg,0
Preprocessed\anger\img_0243.jpg,0
Preprocessed\anger\img_0244.jpg,0
Preprocessed\anger\img_0245.jpg,0
Preprocessed\anger\img_0246.jpg,0
Preprocessed\anger\img_0247.jpg,0
Preprocessed\anger\img_0248.jpg,0
Preprocessed\anger\img_0249.jpg,0
Preprocessed\anger\img_0250.jpg,0
Preprocessed\anger\img_0251.jpg,0
Preprocessed\anger\img_0252.jpg,0
Preprocessed\anger\img_0253.jpg,0
Preprocessed\anger\img_0254.jpg,0
Preprocessed\anger\img_0255.jpg,0
Preprocessed\anger\img_0256.jpg,0
Preprocessed\anger\img_0257.jpg,0
Preprocessed\anger\img_0258.jpg,0
Preprocessed\anger\img_0259.jpg,0
Preprocessed\anger\img_0260.jpg,0
Preprocessed\anger\img_0261.jpg,0
Preprocessed\anger\img_0262.jpg,0
Preprocessed\anger\img_0263.jpg,0
Preprocessed\anger\img_0264.jpg,0
Preprocessed\anger\img_0265.jpg,0
Preprocessed\anger\img_0266.jpg,0
Preprocessed\anger\img_0267.jpg,0
Preprocessed\anger\img_0268.jpg,0
Preprocessed\anger\img_0269.jpg,0
Preprocessed\anger\img_0270.jpg,0
Preprocessed\anger\img_0271.jpg,0
Preprocessed\anger\img_0272.jpg,0
Preprocessed\anger\img_0273.jpg,0
Preprocessed\anger\img_0274.jpg,0
Preprocessed\anger\img_0275.jpg,0
Preprocessed\anger\img_0276.jpg,0
Preprocessed\anger\img_0277.jpg,0
Preprocessed\anger\img_0278.jpg,0
Preprocessed\anger\img_0279.jpg,0
Preprocessed\anger\img_0280.jpg,0
Preprocessed\anger\img_0281.jpg,0
Preprocessed\anger\img_0282.jpg,0
Preprocessed\anger\img_0283.jpg,0
Preprocessed\anger\img_0284.jpg,0
Preprocessed\anger\img_0285.jpg,0
Preprocessed\anger\img_0286.jpg,0
Preprocessed\anger\img_0287.jpg,0
Preprocessed\anger\img_0288.jpg,0
Preprocessed\anger\img_0289.jpg,0
Preprocessed\anger\img_0290.jpg,0
Preprocessed\anger\img_0291.jpg,0
Preprocessed\anger\img_0292.jpg,0
Preprocessed\anger\img_0293.jpg,0
Preprocessed\anger\img_0294.jpg,0
Preprocessed\anger\img_0295.jpg,0
Preprocessed\anger\img_0296.jpg,0
Preprocessed\anger\img_0297.jpg,0
Preprocessed\anger\img_0298.jpg,0
Preprocessed\anger\img_0299.jpg,0
Preprocessed\anger\img_0300.jpg,0
Preprocessed\anger\img_0301.jpg,0
Preprocessed\anger\img_0302.jpg,0
Preprocessed\anger\img_0303.jpg,0
Preprocessed\anger\img_0304.jpg,0
Preprocessed\anger\img_0305.jpg,0
Preprocessed\anger\img_0306.jpg,0
Preprocessed\anger\img_0307.jpg,0
Preprocessed\anger\img_0308.jpg,0
Preprocessed\anger\img_0309.jpg,0
Preprocessed\anger\img_0310.jpg,0
Preprocessed\anger\img_0311.jpg,0
Preprocessed\anger\img_0312.jpg,0
Preprocessed\anger\img_0313.jpg,0
Preprocessed\anger\img_0314.jpg,0
Preprocessed\anger\img_0315.jpg,0
Preprocessed\anger\img_0316.jpg,0
Preprocessed\anger\img_0317.jpg,0
Preprocessed\anger\img_0318.jpg,0
Preprocessed\anger\img_0319.jpg,0
Preprocessed\anger\img_0320.jpg,0
Preprocessed\anger\img_0321.jpg,0
Preprocessed\anger\img_0322.jpg,0
Preprocessed\anger\img_0323.jpg,0
Preprocessed\anger\img_0324.jpg,0
Preprocessed\anger\img_0325.jpg,0
Preprocessed\anger\img_0326.jpg,0
Preprocessed\anger\img_0327.jpg,0
Preprocessed\anger\img_0328.jpg,0
Preprocessed\anger\img_0329.jpg,0
Preprocessed\anger\img_0330.jpg,0
Preprocessed\anger\img_0331.jpg,0
Preprocessed\anger\img_0332.jpg,0
Preprocessed\anger\img_0333.jpg,0
Preprocessed\anger\img_0334.jpg,0
Preprocessed\anger\img_0335.jpg,0
Preprocessed\anger\img_0336.jpg,0
Preprocessed\anger\img_0337.jpg,0
Preprocessed\anger\img_0338.jpg,0
Preprocessed\anger\img_0339.jpg,0
Preprocessed\anger\img_0340.jpg,0
Preprocessed\anger\img_0341.jpg,0
Preprocessed\anger\img_0342.jpg,0
Preprocessed\anger\img_0343.jpg,0
Preprocessed\anger\img_0344.jpg,0
Preprocessed\anger\img_0345.jpg,0
Preprocessed\anger\img_0346.jpg,0
Preprocessed\anger\img_0347.jpg,0
Preprocessed\anger\img_0348.jpg,0
Preprocessed\anger\img_0349.jpg,0
Preprocessed\anger\img_0350.jpg,0
Preprocessed\anger\img_0351.jpg,0
Preprocessed\anger\img_0352.jpg,0
Preprocessed\anger\img_0353.jpg,0
Preprocessed\anger\img_0354.jpg,0
Preprocessed\anger\img_0355.jpg,0
Preprocessed\anger\img_0356.jpg,0
Preprocessed\anger\img_0357.jpg,0
Preprocessed\anger\img_0358.jpg,0
Preprocessed\anger\img_0359.jpg,0
Preprocessed\anger\img_0360.jpg,0
Preprocessed\anger\img_0361.jpg,0
Preprocessed\anger\img_0362.jpg,0
Preprocessed\anger\img_0363.jpg,0
Preprocessed\anger\img_0364.jpg,0
Preprocessed\anger\img_0365.jpg,0
Preprocessed\anger\img_0366.jpg,0
Preprocessed\anger\img_0367.jpg,0
Preprocessed\anger\img_0368.jpg,0
Preprocessed\anger\img_0369.jpg,0
Preprocessed\anger\img_0370.jpg,0
Preprocessed\anger\img_0371.jpg,0
Preprocessed\anger\img_0372.jpg,0
Preprocessed\anger\img_0373.jpg,0
Preprocessed\anger\img_0374.jpg,0
Preprocessed\anger\img_0375.jpg,0
Preprocessed\anger\img_0376.jpg,0
Preprocessed\anger\img_0377.jpg,0
Preprocessed\anger\img_0378.jpg,0
Preprocessed\anger\img_0379.jpg,0
Preprocessed\anger\img_0380.jpg,0
Preprocessed\anger\img_0381.jpg,0
Preprocessed\anger\img_0382.jpg,0
Preprocessed\anger\img_0383.jpg,0
Preprocessed\anger\img_0384.jpg,0
Preprocessed\anger\img_0385.jpg,0
Preprocessed\anger\img_0386.jpg,0
Preprocessed\anger\img_0387.jpg,0
Preprocessed\anger\img_0388.jpg,0
Preprocessed\anger\img_0389.jpg,0
Preprocessed\anger\img_0390.jpg,0
Preprocessed\anger\img_0391.jpg,0
Preprocessed\anger\img_0392.jpg,0
Preprocessed\anger\img_0393.jpg,0
Preprocessed\anger\img_0394.jpg,0
Preprocessed\anger\img_0395.jpg,0
Preprocessed\anger\img_0396.jpg,0
Preprocessed\anger\img_0397.jpg,0
Preprocessed\anger\img_0398.jpg,0
Preprocessed\anger\img_0399.jpg,0
Preprocessed\anger\img_0400.jpg,0
Preprocessed\anger\img_0401.jpg,0
Preprocessed\anger\img_0402.jpg,0
Preprocessed\anger\img_0403.jpg,0
Preprocessed\anger\img_0404.jpg,0
Preprocessed\anger\img_0405.jpg,0
Preprocessed\anger\img_0406.jpg,0
Preprocessed\anger\img_0407.jpg,0
Preprocessed\anger\img_0408.jpg,0
Preprocessed\anger\img_0409.jpg,0
Preprocessed\anger\img_0410.jpg,0
Preprocessed\anger\img_0411.jpg,0
Preprocessed\anger\img_0412.jpg,0
Preprocessed\anger\img_0413.jpg,0
Preprocessed\anger\img_0414.jpg,0
Preprocessed\anger\img_0415.jpg,0
Preprocessed\anger\img_0416.jpg,0
Preprocessed\anger\img_0417.jpg,0
Preprocessed\anger\img_0418.jpg,0
Preprocessed\anger\img_0419.jpg,0
Preprocessed\anger\img_0420.jpg,0
Preprocessed\anger\img_0421.jpg,0
Preprocessed\anger\img_0422.jpg,0
Preprocessed\anger\img_0423.jpg,0
Preprocessed\anger\img_0424.jpg,0
Preprocessed\anger\img_0425.jpg,0
Preprocessed\anger\img_0426.jpg,0
Preprocessed\anger\img_0427.jpg,0
Preprocessed\anger\img_0428.jpg,0
Preprocessed\anger\img_0429.jpg,0
Preprocessed\anger\img_0430.jpg,0
Preprocessed\anger\img_0431.jpg,0
Preprocessed\anger\img_0432.jpg,0
Preprocessed\anger\img_0433.jpg,0
Preprocessed\anger\img_0434.jpg,0
Preprocessed\anger\img_0435.jpg,0
Preprocessed\anger\img_0436.jpg,0
Preprocessed\anger\img_0437.jpg,0
Preprocessed\anger\img_0438.jpg,0
Preprocessed\anger\img_0439.jpg,0
Preprocessed\anger\img_0440.jpg,0
Preprocessed\anger\img_0441.jpg,0
Preprocessed\anger\img_0442.jpg,0
Preprocessed\anger\img_0443.jpg,0
Preprocessed\anger\img_0444.jpg,0
Preprocessed\anger\img_0445.jpg,0
Preprocessed\anger\img_0446.jpg,0
Preprocessed\anger\img_0447.jpg,0
Preprocessed\anger\img_0448.jpg,0
Preprocessed\anger\img_0449.jpg,0
Preprocessed\anger\img_0450.jpg,0
Preprocessed\anger\img_0451.jpg,0
Preprocessed\anger\img_0452.jpg,0
Preprocessed\anger\img_0453.jpg,0
Preprocessed\anger\img_0454.jpg,0
Preprocessed\anger\img_0455.jpg,0
Preprocessed\anger\img_0456.jpg,0
Preprocessed\anger\img_0457.jpg,0
Preprocessed\anger\img_0458.jpg,0
Preprocessed\anger\img_0459.jpg,0
Preprocessed\anger\img_0460.jpg,0
Preprocessed\anger\img_0461.jpg,0
Preprocessed\anger\img_0462.jpg,0
Preprocessed\anger\img_0463.jpg,0
Preprocessed\anger\img_0464.jpg,0
Preprocessed\anger\img_0465.jpg,0
Preprocessed\anger\img_0466.jpg,0
Preprocessed\anger\img_0467.jpg,0
Preprocessed\anger\img_0468.jpg,0
Preprocessed\anger\img_0469.jpg,0
Preprocessed\anger\img_0470.jpg,0
Preprocessed\anger\img_0471.jpg,0
Preprocessed\anger\img_0472.jpg,0
Preprocessed\anger\img_0473.jpg,0
Preprocessed\anger\img_0474.jpg,0
Preprocessed\anger\img_0475.jpg,0
Preprocessed\anger\img_0476.jpg,0
Preprocessed\anger\img_0477.jpg,0
Preprocessed\anger\img_0478.jpg,0
Preprocessed\anger\img_0479.jpg,0
Preprocessed\anger\img_0480.jpg,0
Preprocessed\anger\img_0481.jpg,0
Preprocessed\anger\img_0482.jpg,0
Preprocessed\anger\img_0483.jpg,0
Preprocessed\anger\img_0484.jpg,0
Preprocessed\anger\img_0485.jpg,0
Preprocessed\anger\img_0486.jpg,0
Preprocessed\anger\img_0487.jpg,0
Preprocessed\anger\img_0488.jpg,0
Preprocessed\anger\img_0489.jpg,0
Preprocessed\anger\img_0490.jpg,0
Preprocessed\anger\img_0491.jpg,0
Preprocessed\anger\img_0492.jpg,0
Preprocessed\anger\img_0493.jpg,0
Preprocessed\anger\img_0494.jpg,0
Preprocessed\anger\img_0495.jpg,0
Preprocessed\anger\img_0496.jpg,0
Preprocessed\anger\img_0497.jpg,0
Preprocessed\anger\img_0498.jpg,0
Preprocessed\anger\img_0499.jpg,0
Preprocessed\anger\img_0500.jpg,0
Preprocessed\anger\img_0501.jpg,0
Preprocessed\anger\img_0502.jpg,0
Preprocessed\anger\img_0503.jpg,0
Preprocessed\anger\img_0504.jpg,0
Preprocessed\anger\img_0505.jpg,0
Preprocessed\anger\img_0506.jpg,0
Preprocessed\anger\img_0507.jpg,0
Preprocessed\anger\img_0508.jpg,0
Preprocessed\anger\img_0509.jpg,0
Preprocessed\anger\img_0510.jpg,0
Preprocessed\anger\img_0511.jpg,0
Preprocessed\anger\img_0512.jpg,0
Preprocessed\anger\img_0513.jpg,0
Preprocessed\anger\img_0514.jpg,0
Preprocessed\anger\img_0515.jpg,0
Preprocessed\anger\img_0516.jpg,0
Preprocessed\anger\img_0517.jpg,0
Preprocessed\anger\img_0518.jpg,0
Preprocessed\anger\img_0519.jpg,0
Preprocessed\anger\img_0520.jpg,0
Preprocessed\anger\img_0521.jpg,0
Preprocessed\anger\img_0522.jpg,0
Preprocessed\anger\img_0523.jpg,0
Preprocessed\anger\img_0524.jpg,0
Preprocessed\anger\img_0525.jpg,0
Preprocessed\anger\img_0526.jpg,0
Preprocessed\anger\img_0527.jpg,0
Preprocessed\anger\img_0528.jpg,0
Preprocessed\anger\img_0529.jpg,0
Preprocessed\anger\img_0530.jpg,0
Preprocessed\anger\img_0531.jpg,0
Preprocessed\anger\img_0532.jpg,0
Preprocessed\anger\img_0533.jpg,0
Preprocessed\anger\img_0534.jpg,0
Preprocessed\anger\img_0535.jpg,0
Preprocessed\anger\img_0536.jpg,0
Preprocessed\anger\img_0537.jpg,0
Preprocessed\anger\img_0538.jpg,0
Preprocessed\anger\img_0539.jpg,0
Preprocessed\anger\img_0540.jpg,0
Preprocessed\anger\img_0541.jpg,0
Preprocessed\anger\img_0542.jpg,0
Preprocessed\anger\img_0543.jpg,0
Preprocessed\anger\img_0544.jpg,0
Preprocessed\anger\img_0545.jpg,0
Preprocessed\anger\img_0546.jpg,0
Preprocessed\anger\img_0547.jpg,0
Preprocessed\anger\img_0548.jpg,0
Preprocessed\anger\img_0549.jpg,0
Preprocessed\anger\img_0550.jpg,0
Preprocessed\anger\img_0551.jpg,0
Preprocessed\anger\img_0552.jpg,0
Preprocessed\anger\img_0553.jpg,0
Preprocessed\anger\img_0554.jpg,0
Preprocessed\anger\img_0555.jpg,0
Preprocessed\anger\img_0556.jpg,0
Preprocessed\anger\img_0557.jpg,0
Preprocessed\anger\img_0558.jpg,0
Preprocessed\anger\img_0559.jpg,0
Preprocessed\anger\img_0560.jpg,0
Preprocessed\anger\img_0561.jpg,0
Preprocessed\anger\img_0562.jpg,0
Preprocessed\anger\img_0563.jpg,0
Preprocessed\anger\img_0564.jpg,0
Preprocessed\anger\img_0565.jpg,0
Preprocessed\anger\img_0566.jpg,0
Preprocessed\anger\img_0567.jpg,0
Preprocessed\anger\img_0568.jpg,0
Preprocessed\anger\img_0569.jpg,0
Preprocessed\anger\img_0570.jpg,0
Preprocessed\anger\img_0571.jpg,0
Preprocessed\anger\img_0572.jpg,0
Preprocessed\anger\img_0573.jpg,0
Preprocessed\anger\img_0574.jpg,0
Preprocessed\anger\img_0575.jpg,0
Preprocessed\anger\img_0576.jpg,0
Preprocessed\anger\img_0577.jpg,0
Preprocessed\anger\img_0578.jpg,0
Preprocessed\anger\img_0579.jpg,0
Preprocessed\anger\img_0580.jpg,0
Preprocessed\anger\img_0581.jpg,0
Preprocessed\anger\img_0582.jpg,0
Preprocessed\anger\img_0583.jpg,0
Preprocessed\anger\img_0584.jpg,0
Preprocessed\anger\img_0585.jpg,0
Preprocessed\anger\img_0586.jpg,0
Preprocessed\anger\img_0587.jpg,0
Preprocessed\anger\img_0588.jpg,0
Preprocessed\anger\img_0589.jpg,0
Preprocessed\anger\img_0590.jpg,0
Preprocessed\anger\img_0591.jpg,0
Preprocessed\anger\img_0592.jpg,0
Preprocessed\anger\img_0593.jpg,0
Preprocessed\anger\img_0594.jpg,0
Preprocessed\anger\img_0595.jpg,0
Preprocessed\anger\img_0596.jpg,0
Preprocessed\anger\img_0597.jpg,0
Preprocessed\anger\img_0598.jpg,0
Preprocessed\anger\img_0599.jpg,0
Preprocessed\anger\img_0600.jpg,0
Preprocessed\anger\img_0601.jpg,0
Preprocessed\anger\img_0602.jpg,0
Preprocessed\anger\img_0603.jpg,0
Preprocessed\anger\img_0604.jpg,0
Preprocessed\anger\img_0605.jpg,0
Preprocessed\anger\img_0606.jpg,0
Preprocessed\anger\img_0607.jpg,0
Preprocessed\anger\img_0608.jpg,0
Preprocessed\anger\img_0609.jpg,0
Preprocessed\anger\img_0610.jpg,0
Preprocessed\anger\img_0611.jpg,0
Preprocessed\anger\img_0612.jpg,0
Preprocessed\anger\img_0613.jpg,0
Preprocessed\anger\img_0614.jpg,0
Preprocessed\anger\img_0615.jpg,0
Preprocessed\anger\img_0616.jpg,0
Preprocessed\anger\img_0617.jpg,0
Preprocessed\anger\img_0618.jpg,0
Preprocessed\anger\img_0619.jpg,0
Preprocessed\anger\img_0620.jpg,0
Preprocessed\anger\img_0621.jpg,0
Preprocessed\anger\img_0622.jpg,0
Preprocessed\anger\img_0623.jpg,0
Preprocessed\anger\img_0624.jpg,0
Preprocessed\anger\img_0625.jpg,0
Preprocessed\anger\img_0626.jpg,0
Preprocessed\anger\img_0627.jpg,0
Preprocessed\anger\img_0628.jpg,0
Preprocessed\anger\img_0629.jpg,0
Preprocessed\anger\img_0630.jpg,0
Preprocessed\anger\img_0631.jpg,0
Preprocessed\anger\img_0632.jpg,0
Preprocessed\anger\img_0633.jpg,0
Preprocessed\anger\img_0634.jpg,0
Preprocessed\anger\img_0635.jpg,0
Preprocessed\anger\img_0636.jpg,0
Preprocessed\anger\img_0637.jpg,0
Preprocessed\anger\img_0638.jpg,0
Preprocessed\anger\img_0639.jpg,0
Preprocessed\anger\img_0640.jpg,0
Preprocessed\anger\img_0641.jpg,0
Preprocessed\anger\img_0642.jpg,0
Preprocessed\anger\img_0643.jpg,0
Preprocessed\anger\img_0644.jpg,0
Preprocessed\anger\img_0645.jpg,0
Preprocessed\anger\img_0646.jpg,0
Preprocessed\anger\img_0647.jpg,0
Preprocessed\anger\img_0648.jpg,0
Preprocessed\anger\img_0649.jpg,0
Preprocessed\anger\img_0650.jpg,0
Preprocessed\anger\img_0651.jpg,0
Preprocessed\anger\img_0652.jpg,0
Preprocessed\anger\img_0653.jpg,0
Preprocessed\anger\img_0654.jpg,0
Preprocessed\anger\img_0655.jpg,0
Preprocessed\anger\img_0656.jpg,0
Preprocessed\anger\img_0657.jpg,0
Preprocessed\anger\img_0658.jpg,0
Preprocessed\anger\img_0659.jpg,0
Preprocessed\anger\img_0660.jpg,0
Preprocessed\anger\img_0661.jpg,0
Preprocessed\anger\img_0662.jpg,0
Preprocessed\anger\img_0663.jpg,0
Preprocessed\anger\img_0664.jpg,0
Preprocessed\anger\img_0665.jpg,0
